operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.417629,-58.645755",340000.0,USD,5155216.0,340000.0,200.0,200.0,1700.0,1700.0,,,,http://nordelta.properati.com.ar/12qcy_venta_casa_nordelta_suite_lavadero_parrilla_vestidor_dependencias_graciela-santillan-y-asociados
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Lomas de Zamora|,"-34.7575006,-58.391436",89900.0,USD,1363099.76,89900.0,45.0,43.0,1997.7777777777776,2090.6976744186045,2.0,,,http://lomas-de-zamora.properati.com.ar/w64k_venta_departamentos_lomas-de-zamora
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Paso del Rey|,"-34.6556141,-58.7573603",110000.0,USD,1667864.0,110000.0,260.0,112.0,423.0769230769231,982.1428571428572,,,,http://paso-del-rey.properati.com.ar/zic9_venta_casa_paso-del-rey_balcon_jardin_lavadero_parrilla_patio_piscina_garage_etelman-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,260000.0,USD,3942224.0,260000.0,300.0,200.0,866.6666666666666,1300.0,,4.0,,http://ramos-mejia.properati.com.ar/s8pa_venta_casa_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4869760349,-58.4973583434",270000.0,USD,4093848.0,270000.0,83.0,80.0,3253.012048192771,3375.0,,3.0,,http://martinez.properati.com.ar/12q5f_venta_departamentos_martinez_baulera_lavadero_vista_dependencias_garage_placard_dic-propiedades_c80
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.7190399176,-58.3827209473",190000.0,USD,2880856.0,190000.0,290.0,170.0,655.1724137931035,1117.6470588235295,,6.0,2,http://lanus.properati.com.ar/prvj_venta_casa_lanus
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4120738,-58.591934",380000.0,USD,5761712.0,380000.0,0.0,374.0,,1016.0427807486632,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/10ln0_venta_casa_tigre_avenida-liniers_400_suite_lavadero_piscina_terraza_dependencias_garage_mieres-tigre-centro
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,,,,,384.0,80.0,,,,4.0,,http://haedo.properati.com.ar/s9da_venta_casa_moron
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.615847,-58.459957",118000.0,USD,1789163.2,118000.0,,54.0,,2185.185185185185,,2.0,,http://caballito.properati.com.ar/11wqh_venta_departamentos_caballito_balcon_jardin_garage_placard_losa-radiante_re-max-vanguard
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.5020981,-58.4864188",370000.0,USD,5610088.0,370000.0,330.0,322.0,1121.2121212121212,1149.0683229813665,,,,http://la-lucila.properati.com.ar/zh5r_venta_casa_la-lucila_rawson-guillermo_3200_suite_lavadero_parrilla_toilette_vestidor_dependencias_solimano-dal-pos-inmuebles-la-lucila
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,"-34.6086244,-58.4134335",370000.0,USD,5610088.0,370000.0,1000.0,250.0,370.0,1480.0,,,,http://moreno-bs-as-g-b-a-zona-oeste.properati.com.ar/zjof_venta_casa_moreno_suite_lavadero_parrilla_piscina_toilette_vestidor_oyhanarte-propiedades-moreno
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5123933,-58.4899116",390000.0,USD,5913336.0,390000.0,45.0,0.0,8666.666666666666,,,,,http://olivos.properati.com.ar/10ln7_venta_local_olivos_avenida-maipu_2500_codoni-sigma-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5442344904,-58.5705548733",130000.0,USD,1971112.0,130000.0,100.0,100.0,1300.0,1300.0,,4.0,,http://villa-ballester.properati.com.ar/xx86_venta_casa_villa-ballester_balcon_lavadero_parrilla_patio_lujoso_garage_aire-acondicionado_dic-propiedades_c80
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,,530000.0,USD,8036072.0,530000.0,400.0,350.0,1325.0,1514.2857142857142,,,,http://la-lucila.properati.com.ar/rt5i_venta_casa_la-lucila_franco-cmdte-ramon_300
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.6876542,-58.411321",180000.0,USD,2729232.0,180000.0,233.0,113.0,772.5321888412017,1592.9203539823009,,4.0,,http://lanus.properati.com.ar/ou3i_venta_casa_lanus
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Villa Udaondo|,,,,,,,,,,,,,http://villa-udaondo.properati.com.ar/11ga2_venta_casa_villa-udaondo_balcon_lavadero_parrilla_piscina_toilette_luminoso_amoblado_r-tavella-inmuebles_cz9
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4713619,-58.5118749",175000.0,USD,2653420.0,175000.0,117.0,107.0,1495.7264957264956,1635.5140186915887,2.0,,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/10deu_venta_departamentos_san-isidro_rivadavia_200_balcon_lavadero_dependencias_valencia-ana-lomas-de-san-isidro
sell,apartment,|Argentina|Capital Federal|Centro / Microcentro|,"-34.5985342536,-58.3727964943",78000.0,USD,1182667.2,78000.0,,28.0,,2785.714285714286,3.0,2.0,,http://centro-microcentro.properati.com.ar/118o8_venta_departamentos_capital-federal_reconquista_800_luminoso_re-max-total-iii
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,,450000.0,USD,6823080.0,450000.0,150.0,180.0,3000.0,2500.0,,,,http://olivos.properati.com.ar/r4nr_venta_casa_olivos_monasterio-angel_1800
sell,apartment,|Argentina|Capital Federal|Constitución|,"-34.6252219,-58.3823825",57000.0,USD,864256.8,57000.0,42.0,42.0,1357.142857142857,1357.142857142857,5.0,2.0,364,http://constitucion.properati.com.ar/k2f0_venta_departamentos_constitucion_lima_1400
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6106102,-58.4125107",90000.0,USD,1364616.0,90000.0,57.0,50.0,1578.9473684210527,1800.0,,3.0,450,http://once.properati.com.ar/suwa_venta_departamentos_once_rivadavia-av-_3200
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|El Libertador|,"-34.5531728,-58.6136751",,,,,,,,,,3.0,,http://el-libertador.properati.com.ar/w2bf_venta_ph_el-libertador
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6799393,-58.5061879",,,,,,,,,,,,http://la-matanza.properati.com.ar/y33l_venta_departamentos_la-matanza_suite_jardin_lavadero_patio_toilette_vestidor_garage_anzalone-propiedades_9ut
sell,house,|Argentina|Capital Federal|Villa General Mitre|,"-34.6128418,-58.4697934",470000.0,USD,7126328.0,470000.0,570.0,400.0,824.561403508772,1175.0,,6.0,,http://villa-general-mitre.properati.com.ar/11fm4_venta_casa_villa-general-mitre_balcon_jardin_lavadero_parrilla_patio_piscina_terraza_toilette_dependencias_garage_placard_bertolotti
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,93.0,,,,3.0,,http://ramos-mejia.properati.com.ar/u03h_venta_departamentos_ramos-mejia
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|QBay Yacht|,"-34.4465229,-58.6338743",225000.0,USD,3411540.0,225000.0,97.0,80.0,2319.5876288659792,2812.5,,3.0,,http://qbay-yacht.properati.com.ar/110ml_venta_departamentos_qbay-yacht_gimnasio_jardin_parrilla_piscina_sum_terraza_luminoso_vista_victorino-de-la-plaza_d04
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Malvinas Argentinas|,"-34.4714672812,-58.6982345581",,,,,1207.0,350.0,,,,4.0,,http://malvinas-argentinas.properati.com.ar/kmgm_alquiler_casa_malvinas-argentinas
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6038236,-58.4272911",138000.0,USD,2092411.2,138000.0,74.0,74.0,1864.8648648648648,1864.8648648648648,1.0,3.0,300,http://almagro.properati.com.ar/11w6t_venta_departamentos_almagro_lavadero_luminoso_aire-acondicionado_bertolotti
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,78600.0,USD,1191764.64,78600.0,,29.0,,2710.344827586207,,2.0,,http://haedo.properati.com.ar/z1op_venta_departamentos_haedo_estrenar_panisello-inmobiliaria
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5181057,-58.5190446",169000.0,USD,2562445.6,169000.0,80.0,125.0,2112.5,1352.0,,,,http://olivos.properati.com.ar/nsxt_venta_casa_olivos_aguero_3300
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6481312,-58.5530731",75000.0,USD,1137180.0,75000.0,,55.0,,1363.6363636363635,,,,http://ramos-mejia.properati.com.ar/omsm_venta_casa_ramos-mejia
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Rafael Castillo|,"-34.68708801,-58.62220383",150000.0,USD,2274360.0,150000.0,,,,,,,,http://rafael-castillo.properati.com.ar/11t1w_venta_casa_rafael-castillo_suite_lavadero_piscina_quincho_garage_isabel-minim_5f8
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6732249882,-58.559036586",47000.0,USD,712632.8,47000.0,46.0,28.0,1021.7391304347826,1678.571428571429,,,,http://san-justo-la-matanza.properati.com.ar/v01y_venta_departamentos_san-justo
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7507566,-58.3774958",140000.0,USD,2122736.0,140000.0,0.0,103.0,,1359.223300970874,,3.0,,http://banfield.properati.com.ar/11pju_venta_casa_banfield_jardin_patio_piscina_garage_placard_cabrera-propiedades_b4e
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.8900258293,-57.9504898075",150000.0,USD,2274360.0,150000.0,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/yl3f_venta_casa_la-plata_patio_quincho_garage_larrosa-estudio-inmobiliario
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5902501054,-58.3874693338",400000.0,USD,6064960.0,400000.0,150.0,130.0,2666.6666666666665,3076.923076923077,,4.0,5400,http://barrio-norte.properati.com.ar/10smf_venta_departamentos_barrio-norte_lavadero_patio_toilette_dependencias_izrastzoff-agentes-inmobiliarios
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.466883,-58.514985",637000.0,USD,9658448.8,637000.0,,117.0,,5444.444444444444,,4.0,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/uvq1_venta_departamentos_san-isidro
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.586103,-58.423963",114000.0,USD,1728513.6,114000.0,,32.0,,3562.5,,2.0,,http://palermo.properati.com.ar/11vtx_venta_departamentos_palermo_baulera_luminoso_placard_aire-acondicionado_re-max-premium
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,210000.0,USD,3184104.0,210000.0,144.0,76.0,1458.3333333333333,2763.157894736842,,3.0,3800,http://nordelta.properati.com.ar/ys63_venta_departamentos_nordelta_suite_jardin_lavadero_terraza_toilette_placard_gabriela-iglesias
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5438273,-58.5830637",72000.0,USD,1091692.8,72000.0,,,,,,,,http://san-martin.properati.com.ar/v4qx_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,131000.0,USD,1986274.4,131000.0,,52.0,,2519.230769230769,,2.0,,http://ramos-mejia.properati.com.ar/zrti_venta_departamentos_ramos-mejia_baulera_luminoso_estrenar_berto-inmuebles
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6265182557,-58.4724630529",82000.0,USD,1243316.8,82000.0,50.0,50.0,1640.0,1640.0,,2.0,,http://flores.properati.com.ar/12w4k_venta_departamentos_flores_balcon_lavadero_placard_subte-linea-a_hanin-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.6600198,-58.6199275",65000.0,USD,985556.0,65000.0,50.0,50.0,1300.0,1300.0,,2.0,,http://moron.properati.com.ar/12kyb_venta_departamentos_moron_balcon_terraza_garage_placard_saad-centurion-propiedades_di6
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,"-34.5909471422,-58.6466531767",670000.0,ARS,668140.4,44065.61,,,,,,,,http://hurlingham-bs-as-g-b-a-zona-oeste.properati.com.ar/hlz2_venta_departamento_hurlingham
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.5991655,-58.5638921",75000.0,USD,1137180.0,75000.0,42.0,40.0,1785.7142857142858,1875.0,7.0,2.0,,http://caseros.properati.com.ar/ws19_venta_departamentos_caseros_bonifacini_4800
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4825743434,-58.5880050364",608599.0,USD,9227821.47,608599.0,220.0,123.0,2766.359090909091,4947.959349593496,,4.0,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/11krg_venta_departamentos_san-isidro_vizora
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Barrio Cerrado Fincas de Maschwitz|,"-34.377612,-58.8226419",90000.0,USD,1364616.0,90000.0,850.0,130.0,105.88235294117646,692.3076923076923,,4.0,,http://barrio-cerrado-fincas-de-maschwitz.properati.com.ar/x7in_venta_casa_barrio-cerrado-fincas-de-maschwitz
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.6037232,-58.3815931",170000.0,USD,2577608.0,170000.0,88.0,50.0,1931.8181818181815,3400.0,2.0,2.0,,http://nordelta.properati.com.ar/o0nf_venta_departamentos_nordelta
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4349391,-58.5628792",125000.0,USD,1895300.0,125000.0,87.0,80.0,1436.7816091954023,1562.5,,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/11afa_venta_departamentos_san-fernando_avenida-presidente-teniente-general-juan-domingo-peron_200_balcon_hidromasaje_impecable_placard_resia-y-cia-leo
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5620844,-58.4566864",166000.0,USD,2516958.4,166000.0,58.0,52.0,2862.0689655172414,3192.3076923076924,,2.0,,http://belgrano.properati.com.ar/12tu6_venta_departamentos_belgrano_suite_parrilla_patio_piscina_toilette_amenities_placard_subte-linea-d_zuker-propiedades_dke
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6410974,-58.5527562",,,,,40.0,40.0,,,,,,http://ramos-mejia.properati.com.ar/efj3_venta_departamento_ramos-mejia
sell,apartment,|Argentina|Capital Federal|Liniers|,"-34.648143,-58.524277",136500.0,USD,2069667.6,136500.0,,71.0,,1922.5352112676055,,3.0,,http://liniers.properati.com.ar/11xwz_venta_departamentos_liniers_balcon_terraza_vestidor_luminoso_re-max-urbana
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.920001,-57.981985",115000.0,USD,1743676.0,115000.0,,71.0,,1619.718309859155,,3.0,,http://la-plata.properati.com.ar/12dfb_venta_ph_la-plata_balcon_parrilla_terraza_garage_placard_re-max-diagonal-ii
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.663673,-58.562634",,,,,0.0,,,,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/12g6w_venta_ph_ituzaingo_lavadero_parrilla_patio_vanesa-romera-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Los Polvorines|,,1250000.0,USD,18953000.0,1250000.0,3400.0,520.0,367.6470588235294,2403.846153846154,,,,http://los-polvorines.properati.com.ar/ng85_venta_casa_los-polvorines_0
sell,PH,|Argentina|Capital Federal|Villa Crespo|,"-34.6021538,-58.4335529",149000.0,USD,2259197.6,149000.0,75.0,70.0,1986.6666666666667,2128.5714285714284,,3.0,100,http://villa-crespo.properati.com.ar/ywgq_venta_ph_villa-crespo_patio_vestidor_impecable_aire-acondicionado_estrenar_bertolotti
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,,956000.0,ARS,961644.59,63422.98,116.0,68.0,546.749827586207,14058.823529411764,,3.0,2500,http://canning-ezeiza.properati.com.ar/11jhm_venta_departamentos_canning_gimnasio_jardin_parrilla_piscina_sum_garage_belprop-de-luca
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.742476,-58.280261",86000.0,USD,1303966.4,86000.0,,20.0,,4300.0,,3.0,,http://quilmes.properati.com.ar/12dga_venta_casa_quilmes_jardin_parrilla_patio_garage_re-max-sur
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.596715,-58.444045",75000.0,USD,1137180.0,75000.0,40.0,36.0,1875.0,2083.333333333333,,2.0,,http://villa-crespo.properati.com.ar/10auc_venta_departamentos_villa-crespo_luminoso_migliorisi-propiedades_cy0
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5444356268,-58.553443858",130000.0,USD,1971112.0,130000.0,76.0,72.0,1710.5263157894738,1805.555555555556,,,,http://san-martin.properati.com.ar/ea05_venta_departamento_san-martin
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6384209,-58.6885595",145000.0,USD,2198548.0,145000.0,350.0,120.0,414.2857142857143,1208.3333333333333,,,,http://ituzaingo.properati.com.ar/nt1k_venta_casa_villa-ariza
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.63897705,-58.50011444",80000.0,USD,1212992.0,80000.0,,,,,,,,http://villa-luro.properati.com.ar/zijc_venta_departamentos_villa-luro_garage_pueyrredon-brokers
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,"-34.8079096263,-58.4026027513",350000.0,USD,5306840.0,350000.0,0.0,270.0,,1296.2962962962963,,4.0,,http://adrogue.properati.com.ar/11s0h_venta_casa_adrogue_suite_hidromasaje_jardin_lavadero_piscina_quincho_vestidor_vista_garage_placard_gazda-propiedades_cq0
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5331327,-58.479013",138000.0,USD,2092411.2,138000.0,64.0,56.0,2156.25,2464.285714285714,7.0,,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/uax1_venta_departamentos_vicente-lopez_jose-marmol_1500
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|El Talar|,"-34.470554,-58.6533395",90000.0,USD,1364616.0,90000.0,0.0,80.0,,1125.0,,,,http://el-talar.properati.com.ar/owgj_venta_local_el-talar
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.643601,-58.5609818",65000.0,USD,985556.0,65000.0,35.0,,1857.142857142857,,3.0,,400,http://ramos-mejia.properati.com.ar/ylrz_venta_departamentos_ramos-mejia_piscina_matias-szpira-bienes-raices-ituzaingo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,"-34.3957896386,-58.7157411741",210000.0,USD,3184104.0,210000.0,2500.0,200.0,84.0,1050.0,,,,http://benavidez.properati.com.ar/wnwa_venta_casa_benavidez
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.599722,-58.430668",68000.0,USD,1031043.2,68000.0,,37.0,,1837.837837837838,,2.0,,http://villa-crespo.properati.com.ar/yzjo_venta_departamentos_villa-crespo_balcon_lavadero_parrilla_sum_luminoso_lujoso_garage_amenities_aire-acondicionado_estrenar_re-max-vanguard
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6173479,-58.4494037",69000.0,USD,1046205.6,69000.0,29.0,2.0,2379.310344827586,34500.0,4.0,1.0,,http://caballito.properati.com.ar/x553_venta_departamentos_caballito
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Villa Udaondo|,"-34.6263237,-58.65938187",85000.0,USD,1288804.0,85000.0,,,,,,,,http://villa-udaondo.properati.com.ar/11ae1_venta_ph_villa-udaondo_balcon_toilette_amoblado_estrenar_viillelcho-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4645841,-58.5155094",500000.0,USD,7581200.0,500000.0,471.0,335.0,1061.5711252653928,1492.5373134328358,,,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/xfad_venta_casa_san-isidro_avenida-del-libertador_16800
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,"-34.6652172,-58.5519019",55000.0,USD,833932.0,55000.0,,,,,,,,http://lomas-del-mirador.properati.com.ar/iz48_venta_departamento_lomas-del-mirador
